"budget_year","project_id","project_name","methodid","methodname","orgname","goods_name","ministryname","departmentname","deptname","dept_sub_name","moiname","stepgrpid","project_money","issuedate","announce_date","projectmoneyrange","day_standand","day_real","result"
"2563","60016006632","ประกวดราคาจ้างโครงการปรับปรุงอาคารสถาบันดำรงราชานุภาพ ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","16","ประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","ส่วนราชการ","จ้างปรับปรุง ซ่อมแซมอาคาร","กระทรวงมหาดไทย","สำนักงานปลัดกระทรวงมหาดไทย","สำนักงานปลัดกระทรวงมหาดไทย","สำนักงานปลัดกระทรวงมหาดไทย กรุงเทพฯ","กรุงเทพมหานคร","ก่อหนี้","52372100","2017-01-24","2017-03-14","เกิน 50 ล้านบาท - 100 ล้านบาท","62","35","ไม่ล่าช้า"
"2563","60016016199","ประกวดราคาซื้อน้ำยาตรวจวิเคราะห์และแถบตรวจสารเคมีในปัสสาวะ ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","16","ประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","ส่วนราชการ","วัสดุครุภัณฑ์วิทยาศาสตร์และการแพทย์","กระทรวงสาธารณสุข","กรมการแพทย์","โรงพยาบาลนพรัตนราชธานี","โรงพยาบาลนพรัตนราชธานี","กรุงเทพมหานคร","ก่อหนี้","4725000","2017-01-18","2017-04-24","เกิน 5 แสนบาท - 5 ล้านบาท","33","65","ล่าช้า"
"2563","60016202684","ประกวดราคาจ้างก่อสร้างอาคารเรียนรวมและปฏิบัติการศึกษาวิจัย พัฒนา บัณฑิตศึกษา จำนวน 1 หลัง ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","16","ประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","ส่วนราชการ","จ้างก่อสร้างอาคาร","กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม",,"มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี","มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี","ปทุมธานี","ก่อหนี้","294653410.21","2017-02-03","2018-06-13","มากกว่า 100 ล้านบาท","62","334","ล่าช้า"
"2563","60036168111","ประกวดราคาซื้อน้ำยาตรวจวิเคราะห์แยกชนิดเม็ดเลือดขาว CD4 ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","16","ประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","ส่วนราชการ","วัสดุครุภัณฑ์วิทยาศาสตร์และการแพทย์","กระทรวงสาธารณสุข","กรมการแพทย์","โรงพยาบาลนพรัตนราชธานี","โรงพยาบาลนพรัตนราชธานี","กรุงเทพมหานคร","ก่อหนี้","1650000","2017-03-23","2017-07-18","เกิน 5 แสนบาท - 5 ล้านบาท","33","77","ล่าช้า"
"2563","60036288970","ประกวดราคาจ้างก่อสร้างโครงการพัฒนาข่วงหลวงเวียงแก้ว ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","16","ประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","ส่วนราชการ","จ้างก่อสร้างอาคาร","กระทรวงมหาดไทย","สำนักงานปลัดกระทรวงมหาดไทย","สำนักงานปลัดกระทรวงมหาดไทย","สำนักงานจังหวัดเชียงใหม่","กรุงเทพมหานคร","ก่อหนี้","120000000","2017-04-07","2017-06-05","มากกว่า 100 ล้านบาท","62","37","ไม่ล่าช้า"
"2563","60066016334","ประกวดราคาจ้างก่อสร้างอาคารเรียนสังคมศาสตร์ ๑ หลัง (ครั้งที่ ๓) ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","16","ประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","ส่วนราชการ","จ้างก่อสร้างอาคาร","กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม",,"มหาวิทยาลัยราชภัฏเทพสตรี","มหาวิทยาลัยราชภัฏเทพสตรี","ลพบุรี","ก่อหนี้","142185500","2017-06-22","2017-08-01","มากกว่า 100 ล้านบาท","62","28","ไม่ล่าช้า"
"2563","60066101729","ประกวดราคาซื้อน้ำยาวิทยาศาสตร์สำหรับตรวจวิเคราะห์ ตรวจวัดระดับสารเคมีในเลือด (chemistry) จำนวน 24 รายการ สำหรับระยะเวลา 2 ปี  จำนวนประมาณ 578,856 Test ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","16","ประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","ส่วนราชการ","วัสดุครุภัณฑ์วิทยาศาสตร์และการแพทย์","กระทรวงสาธารณสุข","สำนักงานปลัดกระทรวงสาธารณสุข","โรงพยาบาลบ้านโป่ง","โรงพยาบาลบ้านโป่ง","ราชบุรี","ก่อหนี้","4613803.74","2017-06-27","2017-08-03","เกิน 5 แสนบาท - 5 ล้านบาท","33","27","ไม่ล่าช้า"
"2563","60076224780","ประกวดราคาเช่าเครื่องถ่ายเอกสาร ประจำปี 2561-2562 ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","16","ประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","ส่วนราชการ","เช่าเครื่องถ่ายเอกสาร","กระทรวงสาธารณสุข","กรมการแพทย์","โรงพยาบาลนพรัตนราชธานี","โรงพยาบาลนพรัตนราชธานี","กรุงเทพมหานคร","ก่อหนี้","1300000","2017-08-02","2017-09-11","เกิน 5 แสนบาท - 5 ล้านบาท","33","28","ไม่ล่าช้า"
"2563","60076274924","ประกวดราคาเช่ารถยนต์เพื่อใช้ในภารกิจของกรมคุมประพฤติ จำนวน 227 คัน ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","16","ประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","ส่วนราชการ","เช่ารถยนต์ที่ใช้ในราชการ","กระทรวงยุติธรรม","กรมคุมประพฤติ","กรมคุมประพฤติ","กรมคุมประพฤติ","กรุงเทพมหานคร","ก่อหนี้","319388400","2017-08-04","2017-09-27","มากกว่า 100 ล้านบาท","62","38","ไม่ล่าช้า"
"2563","60086094086","ประกวดราคาจ้างเหมาบริการ การตรวจวิเคราะห์ระดับสารเคมีและสารภูมิคุ้มกันพร้อมระบบบริหารจัดการสิ่งส่งตรวจแบบอัตโนมัติ จำนวน 1 งาน ครั้งที่ 3 ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","16","ประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","ส่วนราชการ","จ้างเหมาอื่นๆ","กระทรวงสาธารณสุข","สำนักงานปลัดกระทรวงสาธารณสุข","โรงพยาบาลบุรีรัมย์","โรงพยาบาลบุรีรัมย์","บุรีรัมย์","ก่อหนี้","93629000","2017-08-21","2019-10-18","เกิน 50 ล้านบาท - 100 ล้านบาท","62","533","ล่าช้า"
"2563","60086118825","ประกวดราคาจ้างก่อสร้างอาคารสำนักงานสรรพสามิตพื้นที่อ่างทอง ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","16","ประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","ส่วนราชการ","จ้างก่อสร้างอาคาร","กระทรวงการคลัง","กรมสรรพสามิต","กรมสรรพสามิต","สำนักงานสรรพสามิตพื้นที่อ่างทอง","กรุงเทพมหานคร","ก่อหนี้","17719400","2017-08-17","2017-09-08","เกิน 10 ล้านบาท - 50 ล้านบาท","52","17","ไม่ล่าช้า"
"2563","60086164130","ประกวดราคาซื้อnicardipine hydrochloride 10 mg/10 mL solution for injection, 10 mL ampoule (51.99.99.99 -984253),tamsulosin hydrochloride 400 mcg prolonged-release tablet, 1 tablet (51.99.99.99 -956120),parecoxib 40 mg powder for solution for injection, 1 ","16","ประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","ส่วนราชการ","วัสดุครุภัณฑ์วิทยาศาสตร์และการแพทย์","กระทรวงสาธารณสุข","สำนักงานปลัดกระทรวงสาธารณสุข","โรงพยาบาลหาดใหญ่","กลุ่มงานเภสัชกรรม โรงพยาบาลหาดใหญ่","สงขลา","ก่อหนี้","4838368.8","2017-08-21","2017-10-17","เกิน 5 แสนบาท - 5 ล้านบาท","33","42","ล่าช้า"
"2563","60086236916","ประกวดราคาจ้างการจ้างงาน (93.14.18.00 ) โครงการจัดสร้างห้องประชุมอาคารผู้โดยสาร ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","16","ประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","หน่วยงานของรัฐที่ไม่สังกัดสำนักนายกรัฐมนตรี กระทรวงหรือทบวง","จ้างก่อสร้างและปรับปรุงอื่นๆ","หน่วยงานของรัฐที่ไม่สังกัดสำนักนายกรัฐมนตรี กระทรวงหรือทบวง","สำนักงานตำรวจแห่งชาติ","สำนักงานตำรวจแห่งชาติ","ด่านตรวจคนเข้าเมืองจังหวัดมุกดาหาร","กรุงเทพมหานคร","ก่อหนี้","2744000","2017-08-18","2017-09-04","เกิน 5 แสนบาท - 5 ล้านบาท","33","12","ไม่ล่าช้า"
"2563","60086310377","ประกวดราคาซื้อจัดซื้อหลอดไฟฟ้า LED พร้อมติดตั้ง จำนวน 1 งาน ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","16","ประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","ส่วนราชการ","วัสดุครุภัณฑ์ไฟฟ้าและวิทยุ","กระทรวงสาธารณสุข","กรมการแพทย์","โรงพยาบาลมหาวชิราลงกรณธัญบุรี","โรงพยาบาลมหาวชิราลงกรณธัญบุรี","ปทุมธานี","ก่อหนี้","2970900","2017-08-22","2017-09-12","เกิน 5 แสนบาท - 5 ล้านบาท","33","16","ไม่ล่าช้า"
"2563","60097046983","ประกวดราคาเช่าเช่าบริการอินเตอร์เน็ตผ่านสื่อสัญญาณ Leased Line ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","16","ประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","ส่วนราชการ","เช่าใช้บริการอินเตอร์เน็ต","กระทรวงสาธารณสุข","กรมการแพทย์","โรงพยาบาลราชวิถี","โรงพยาบาลราชวิถี","กรุงเทพมหานคร","ก่อหนี้","2140000","2017-09-13","2017-09-30","เกิน 5 แสนบาท - 5 ล้านบาท","33","13","ไม่ล่าช้า"
"2563","60097111756","ประกวดราคาเช่าเช่ารถยนต์โดยสาร ขนาด 12 ที่นั่ง พร้อมพนักงานขับรถ ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","16","ประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","ส่วนราชการ","เช่ารถยนต์ที่ใช้ในราชการ","กระทรวงอุตสาหกรรม","สำนักงานปลัดกระทรวงอุตสาหกรรม","สำนักงานปลัดกระทรวงอุตสาหกรรม","สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์","กรุงเทพมหานคร","ก่อหนี้","1995000","2017-09-19","2017-09-28","เกิน 5 แสนบาท - 5 ล้านบาท","33","8","ไม่ล่าช้า"
"2563","60097114290","ซื้อวัสดุอุปกรณ์ไฟฟ้า  จำนวน 14  รายการ โดยวิธีเฉพาะเจาะจง","19","เฉพาะเจาะจง","องค์กรปกครองส่วนท้องถิ่น","วัสดุครุภัณฑ์ไฟฟ้าและวิทยุ","กระทรวงมหาดไทย","กรมส่งเสริมการปกครองท้องถิ่น","องค์การบริหารส่วนตำบลด่านขุนทด","องค์การบริหารส่วนตำบลด่านขุนทด","นครราชสีมา","ก่อหนี้","99485","2020-09-17","2020-09-17","0 - 5 แสนบาท","5","1","ไม่ล่าช้า"
"2563","60097192778","ซื้อวัสดุการแพทย์ทั่วไป โดยวิธีเฉพาะเจาะจง","19","เฉพาะเจาะจง","ส่วนราชการ","วัสดุครุภัณฑ์วิทยาศาสตร์และการแพทย์","กระทรวงสาธารณสุข","สำนักงานปลัดกระทรวงสาธารณสุข","โรงพยาบาลพะเยา","โรงพยาบาลพะเยา","พะเยา","ก่อหนี้","11000","2017-09-21","2017-09-25","0 - 5 แสนบาท","5","3","ไม่ล่าช้า"
"2563","60107029575","ประกวดราคาจ้างอาคารผู้ป่วยนอก - อุบัติเหตุ เป็นอาคาร คสล. 4 ชั้น พื้นที่ใช้สอยประมาณ 5,704 ตารางเมตร โรงพยาบาลราษีไศล ตำบลเมืองคง อำเภอราษีไศล จังหวัดศรีสะเกษ 1 หลัง ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","16","ประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","ส่วนราชการ","จ้างก่อสร้างอาคาร","กระทรวงสาธารณสุข","สำนักงานปลัดกระทรวงสาธารณสุข","โรงพยาบาลราษีไศล","โรงพยาบาลราษีไศล","ศรีสะเกษ","ก่อหนี้","72609000","2017-11-30","2018-03-14","เกิน 50 ล้านบาท - 100 ล้านบาท","62","70","ล่าช้า"
"2563","60107148617","ซื้อรายการ  วัสดุทางการแพทย์ (ห้องผ่าตัด)  จำนวน 10  รายการ โดยวิธีเฉพาะเจาะจง","19","เฉพาะเจาะจง","ส่วนราชการ","วัสดุครุภัณฑ์วิทยาศาสตร์และการแพทย์","กระทรวงสาธารณสุข","สำนักงานปลัดกระทรวงสาธารณสุข","โรงพยาบาลสุรินทร์","โรงพยาบาลสุรินทร์","สุรินทร์","ก่อหนี้","53800","2017-10-10","2017-10-10","0 - 5 แสนบาท","5","1","ไม่ล่าช้า"
"2563","60107148643","ซื้อรายการ  PFNA Gramma Nail (Standard)  จำนวน  1  ชุด โดยวิธีเฉพาะเจาะจง","19","เฉพาะเจาะจง","ส่วนราชการ","วัสดุครุภัณฑ์วิทยาศาสตร์และการแพทย์","กระทรวงสาธารณสุข","สำนักงานปลัดกระทรวงสาธารณสุข","โรงพยาบาลสุรินทร์","โรงพยาบาลสุรินทร์","สุรินทร์","ก่อหนี้","29250","2017-10-18","2017-10-18","0 - 5 แสนบาท","5","1","ไม่ล่าช้า"
"2563","60107171076","จ้างเหมาบำรุงรักษาเครื่องเตรียมน้ำบริสุทธิ์ชนิดเคลื่อนที่ได้ (Portable RO) โดยวิธีเฉพาะเจาะจง","19","เฉพาะเจาะจง","ส่วนราชการ","จ้างเหมาอื่นๆ","กระทรวงสาธารณสุข","สำนักงานปลัดกระทรวงสาธารณสุข","โรงพยาบาลสุโขทัย","โรงพยาบาลสุโขทัย","สุโขทัย","ก่อหนี้","30000","2017-10-24","2017-10-24","0 - 5 แสนบาท","5","1","ไม่ล่าช้า"
"2563","60107221809","ซื้อเวชภัณฑ์ที่มิใช่ยา ประเภทวัสดุการแพทย์ โลหะดามกระดูกสันหลัง 2 ระดับ โดยวิธีเฉพาะเจาะจง","19","เฉพาะเจาะจง","ส่วนราชการ","วัสดุครุภัณฑ์วิทยาศาสตร์และการแพทย์","กระทรวงสาธารณสุข","สำนักงานปลัดกระทรวงสาธารณสุข","โรงพยาบาลเชียงรายประชานุเคราะห์","โรงพยาบาลเชียงรายประชานุเคราะห์","เชียงราย","ก่อหนี้","32500","2020-05-18","2020-05-18","0 - 5 แสนบาท","5","1","ไม่ล่าช้า"
"2563","60107247651","ซื้อวัสดุคอมพิวเตอร์ จำนวน 1 รายการ โดยวิธีเฉพาะเจาะจง","19","เฉพาะเจาะจง","ส่วนราชการ","วัสดุครุภัณฑ์คอมพิวเตอร์","กระทรวงสาธารณสุข","สำนักงานปลัดกระทรวงสาธารณสุข","โรงพยาบาลมะการักษ์","โรงพยาบาลมะการักษ์","กาญจนบุรี","ก่อหนี้","7750","2017-10-30","2017-10-31","0 - 5 แสนบาท","5","2","ไม่ล่าช้า"
"2563","60117002183","ประกวดราคาเช่าเช่าเครื่องช่วยหายใจชนิดควบคุมด้วยปริมาตรและความดันพร้อมเครื่องผลิตอากาศภายในตัวเครื่อง จำนวน 60 เครื่อง","16","ประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","ส่วนราชการ","เช่าอื่นๆ","กระทรวงสาธารณสุข","สำนักงานปลัดกระทรวงสาธารณสุข","โรงพยาบาลเชียงรายประชานุเคราะห์","โรงพยาบาลเชียงรายประชานุเคราะห์","เชียงราย","ก่อหนี้","19224000","2017-11-22","2017-12-29","เกิน 10 ล้านบาท - 50 ล้านบาท","52","26","ไม่ล่าช้า"
"2563","60117129150","ซื้อพลาสเตอร์พลาสติก(Transpore) โดยวิธีเฉพาะเจาะจง","19","เฉพาะเจาะจง","ส่วนราชการ","วัสดุครุภัณฑ์วิทยาศาสตร์และการแพทย์","กระทรวงสาธารณสุข","กรมการแพทย์","สถาบันประสาทวิทยา","สถาบันประสาทวิทยา","กรุงเทพมหานคร","ก่อหนี้","47508","2017-11-03","2017-11-06","0 - 5 แสนบาท","5","2","ไม่ล่าช้า"
"2563","60117132595","ซื้อรายการ  โลหะดามกระดูกและใส่ในโพรงกระดูก โดยวิธีเฉพาะเจาะจง","19","เฉพาะเจาะจง","ส่วนราชการ","วัสดุครุภัณฑ์วิทยาศาสตร์และการแพทย์","กระทรวงสาธารณสุข","สำนักงานปลัดกระทรวงสาธารณสุข","โรงพยาบาลสุรินทร์","โรงพยาบาลสุรินทร์","สุรินทร์","ก่อหนี้","27780","2017-11-10","2017-11-23","0 - 5 แสนบาท","5","10","ล่าช้า"
"2563","60117162975","จ้างที่ปรึกษางานให้บริการที่ปรึกษาการออกแบบ ควบคุมดูแลการดำเนินงานโครงการส่งเสริมการใช้พลังงานทดแทนในหน่วยงานภาครัฐ-มหาวิทยาลัยเทคโนโลยีราชมงคลล้านนา น่าน โดยวิธีคัดเลือก","21","จ้างที่ปรึกษาโดยวิธีคัดเลือก","ส่วนราชการ","จ้างที่ปรึกษาสาขาพลังงาน","กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม",,"มหาวิทยาลัยเทคโนโลยีราชมงคลล้านนา  วิทยาเขตน่าน","มหาวิทยาลัยเทคโนโลยีราชมงคลล้านนา  วิทยาเขตน่าน","น่าน","ก่อหนี้","961200","2017-10-02","2017-11-24","เกิน 5 แสนบาท - 5 ล้านบาท","14","39","ล่าช้า"
"2563","60117180966","ประกวดราคาจ้างก่อสร้างโครงการก่อสร้างเขื่อนป้องกันตลิ่งริมคลองข้าวเม่า  พร้อมปรับปรุงภูมิทัศน์บริเวณโรงเรียนวัดสะแก  (สุทธิธรรมาประชาสงเคราะห์)  ตำบลข้าวเม่า  อำเภออุทัย  จังหวัดพระนครศรีอยุธยา ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","16","ประกวดราคาอิเล็กทรอนิกส์ (e-bidding)","ส่วนราชการ","จ้างก่อสร้างทางสะพานท่อเหลี่ยม","กระทรวงมหาดไทย","กรมโยธาธิการและผังเมือง","กรมโยธาธิการและผังเมือง","สำนักโยธาธิการและผังเมืองจังหวัดพระนครศรีอยุธยา","กรุงเทพมหานคร","ก่อหนี้","18522000","2018-01-05","2018-01-31","เกิน 10 ล้านบาท - 50 ล้านบาท","52","19","ไม่ล่าช้า"
"2563","60117233499","ซื้ออุปกรณ์และอวัยวะเทียม จำนวน 1 รายการ โดยวิธีเฉพาะเจาะจง","19","เฉพาะเจาะจง","ส่วนราชการ","วัสดุครุภัณฑ์วิทยาศาสตร์และการแพทย์","กระทรวงสาธารณสุข","สำนักงานปลัดกระทรวงสาธารณสุข","โรงพยาบาลยโสธร","โรงพยาบาลยโสธร","ยโสธร","ก่อหนี้","22000","2017-11-16","2017-11-23","0 - 5 แสนบาท","5","6","ล่าช้า"
"2563","60117237708","ซื้ออุปกรณ์และอวัยวะเทียม จำนวน 1 รายการ โดยวิธีเฉพาะเจาะจง","19","เฉพาะเจาะจง","ส่วนราชการ","วัสดุครุภัณฑ์วิทยาศาสตร์และการแพทย์","กระทรวงสาธารณสุข","สำนักงานปลัดกระทรวงสาธารณสุข","โรงพยาบาลยโสธร","โรงพยาบาลยโสธร","ยโสธร","ก่อหนี้","11000","2017-11-16","2017-11-23","0 - 5 แสนบาท","5","6","ล่าช้า"
